optaEvent.id,optaEvent.seqId,optaEvent.eventId,optaEvent.typeId,optaEvent.periodId,optaEvent.timeMin,optaEvent.timeSec,optaEvent.contestantId,optaEvent.opContestantId,optaEvent.opPlayerId,optaEvent.outcome,optaEvent.x,optaEvent.y,optaEvent.timeStamp,optaEvent.lastModified,optaEvent.qualifier,optaEvent.game_id,optaEvent.period,optaEvent.alignedFrameIdx,optaEvent.alignedClock,optaEvent.markingId,optaEvent.playerId,optaEvent.playerName,optaEvent.primaryKitColour,optaEvent.secondaryKitColour,2sMarking.id,2sMarking.startWallClock,2sMarking.endWallClock,2sMarking.gameId,2sMarking.possId,2sMarking.teamId,2sMarking.defTeamId,2sMarking.passId,2sMarking.startClock,2sMarking.endClock,2sMarking.duration,2sMarking.distance,2sMarking.runType,2sMarking.overlap,2sMarking.offside,2sMarking.targeted,2sMarking.passBeforeRun,2sMarking.overlapTeammateId,2sMarking.overlapDefenderId,2sMarking.runStartLoc,2sMarking.runEndLoc,2sMarking.runStartZone,2sMarking.runEndZone,2sMarking.zones,2sMarking.maxSpeed,2sMarking.avgSpeed,2sMarking.startGoalDist,2sMarking.finalGoalDist,2sMarking.period,2sMarking.passBeforeId,2sMarking.startFrameIdx,2sMarking.endFrameIdx,2sMarking.phaseId,2sMarking.playerId,2sMarking.direction,2sMarking.markedAtStart,2sMarking.markedAtEnd,2sMarking.startLocOffCategory,2sMarking.endLocOffCategory,2sMarking.startLocDefCategory,2sMarking.endLocDefCategory,2sMarking.underlap,2sMarking.markingType,2sMarking.optaId,2sMarking.wallClock,2sMarking.passerId,2sMarking.receptionId,2sMarking.touchId,2sMarking.stateId,2sMarking.frameIdx,2sMarking.targetId,2sMarking.receiverId,2sMarking.passLoc,2sMarking.targetLoc,2sMarking.endLoc,2sMarking.targetDistance,2sMarking.goalDistance,2sMarking.endGoalDistance,2sMarking.passZone,2sMarking.endZone,2sMarking.targetZone,2sMarking.blocked,2sMarking.completed,2sMarking.outcome,2sMarking.options,2sMarking.supportingOptions,2sMarking.optionsAtReception,2sMarking.bodyPart,2sMarking.deadBallType,2sMarking.timeToRestart,2sMarking.passerDefId,2sMarking.targetDefId,2sMarking.passerDefDist,2sMarking.targetDefDist,2sMarking.assistType,2sMarking.assist,2sMarking.vel,2sMarking.passerVel,2sMarking.defBehindPasser,2sMarking.defBehindReceiver,2sMarking.defBehindTarget,2sMarking.attAheadPasser,2sMarking.attAheadTarget,2sMarking.attAheadReceiver,2sMarking.receivedBetweenLines,2sMarking.gameClock,2sMarking.passProbability,2sMarking.deflected,2sMarking.air,2sMarking.longBall,2sMarking.crossSwing,2sMarking.passLocOffCategory,2sMarking.throughBall,2sMarking.oneTouch,2sMarking.defendersPassed,2sMarking.crossed,2sMarking.passLocDefCategory,2sMarking.offensive,2sMarking.defInBox,2sMarking.attInBox,2sMarking.breaksOffsideLine,2sMarking.presserId,2sMarking.attTeamId,2sMarking.pressedId,2sMarking.playerInPossPressed,2sMarking.startDist,2sMarking.endDist,2sMarking.startLoc,2sMarking.forwardDefending,2sMarking.shotId,2sMarking.tackleId,2sMarking.startZone,2sMarking.distToPossEnd,2sMarking.intensity,2sMarking.startDefBehindBall,2sMarking.endDefBehindBall,2sMarking.startAttAheadBall,2sMarking.endAttAheadBall,2sMarking.distTraveled,2sMarking.startOptions,2sMarking.endOptions,2sMarking.defenders,2sMarking.startDefenderDist,2sMarking.endDefenderDist,2sMarking.behindBackLine,2sMarking.headed,2sMarking.overcommit,2sMarking.xG,2sMarking.minGoalDist,2sMarking.directness,2sMarking.zonesTouched,2sMarking.dribble,2sMarking.dribbleSuccessful,2sMarking.overload,2sMarking.endDead,2sMarking.startDead,2sMarking.isTurnover,2sMarking.fromTurnover,2sMarking.firstPlayerId,2sMarking.lastPlayerId,2sMarking.playersInvolved,2sMarking.width,2sMarking.ballDistTraveled,2sMarking.numPasses,2sMarking.defensiveHeight,2sMarking.phasesSinceRestart,2sMarking.phaseType,2sMarking.prevPhaseType,2sMarking.nextPhaseType,2sMarking.events,2sMarking.nextStartFrameIdx,2sMarking.turnoverType,2sMarking.contested,2sMarking.startType,2sMarking.shotSetPiece,2sMarking.shotTechnique,2sMarking.shotOutcome,2sMarking.scoreDiff,2sMarking.attSide,2sMarking.defSide,2sMarking.verticalPassing,2sMarking.verticalCarrying,2sMarking.state,2sMarking.statesSinceRestart,2sMarking.isSetPlay,2sMarking.setPlayType,2sMarking.startSetPlay,2sMarking.pressingPlayers,2sMarking.pressedPlayers,2sMarking.pressures,2sMarking.totalDistance,2sMarking.avgVel,2sMarking.topSustainedSpeed,2sMarking.zonesInvolved,2sMarking.receptionZone,2sMarking.receptionLoc,2sMarking.receiverSpd,2sMarking.receiverDir,2sMarking.receptionVel,2sMarking.interceptorId,2sMarking.passerTeamId,2sMarking.interceptorTeamId,2sMarking.nextPossId,2sMarking.retained,2sMarking.deflectorId,2sMarking.nextPhaseId,2sMarking.attemptSuccessful,2sMarking.interceptionType,2sMarking.anticipationTime,2sMarking.reactionTime,2sMarking.routeEfficiency,2sMarking.timeVsModel,2sMarking.xgCreated,2sMarking.ledToShot,2sMarking.ledToGoal,2sMarking.tacklerId,2sMarking.tackledId,2sMarking.tacklerTeamId,2sMarking.tackledTeamId,2sMarking.tackleWon,2sMarking.zone,2sMarking.touchFromPass,2sMarking.timeToTackleTouch,2sMarking.initialDistTouch,2sMarking.timeToTackle,2sMarking.initialDist,2sMarking.tackleLoc,2sMarking.touchTacklerLoc,2sMarking.tackledSpeed,2sMarking.tackledPossessed,2sMarking.fromAerial,2sMarking.fromClear,2sMarking.winnerId,2sMarking.loserId,2sMarking.aerialLoc,2sMarking.possessionWon,2sMarking.defenderId,2sMarking.defPressure,2sMarking.recoveredBy,2sMarking.recoveredLive,2sMarking.primaryDefenderId,2sMarking.defenderIds,2sMarking.gkId,2sMarking.goalDist,2sMarking.angle,2sMarking.shotLoc,2sMarking.prevLoc,2sMarking.isScored,2sMarking.passType,2sMarking.numDefGoalside,2sMarking.isOnGoal,2sMarking.isDeflected,2sMarking.shotZone,2sMarking.shooterId,2sMarking.keeperInitialDist,2sMarking.keeperReactionDist,2sMarking.velocity,2sMarking.gkVel,2sMarking.gkLoc,2sMarking.concedingPlayerId,2sMarking.wonPlayerId,2sMarking.location,2sMarking.isPenalty,2sMarking.nextStateId,2sMarking.takerId,2sMarking.leftSide,2sMarking.attKeeperUp,2sMarking.crosserId,2sMarking.hasShot,2sMarking.scored,2sMarking.attInGkBox,2sMarking.attOnEdge,2sMarking.attLeftBack,2sMarking.shortOptionId,2sMarking.playedShort,2sMarking.keeperId,2sMarking.defInGkBox,2sMarking.defOnEdge,2sMarking.defLeftUp,2sMarking.defInWall,2sMarking.nearPostDefenderId,2sMarking.farPostDefenderId,2sMarking.nextContactPlayerId,2sMarking.nextContactOutcome,2sMarking.nextContactZone,2sMarking.nextContactLoc,2sMarking.secondContactId,2sMarking.isOffenseNextContact,2sMarking.cardType,clock_time,adjusted_alignedClock,video_time,tag,start_time,end_time
2751201975,118,31,1,1,2,32,cftj6g399tknheudaxsdpfdgb,547,165922,0,23.0,18.0,2024-11-24T13:05:03.454,2024-11-24T13:05:12,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1,3784,151.36000061035156,a1645967-835a-5b4e-9a63-e9baebfc9364,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,a1645967-835a-5b4e-9a63-e9baebfc9364,,,2442638,c0991b39-2855-5a66-9931-34f43bf151fd,547,401,,,,5.08,51.74,,,,,,,,,,,,,,,,,1,,,3911,0cf7a31d-4cbe-5e2b-835d-cae26dd292d5,,forward,,,,forward,,behind,,pass,2751201975,1732453495600,165922,99c05fea-51b3-5394-815c-535c1c0fff64,83e3a21b-0896-5837-8964-4eed48ec3620,62b16eb0-6617-569b-b5d6-00beb5f359b5,3784,544773,439449.0,,,,41.63,84.72,40.98,5-r,15,12,False,False,interception,2,2,0,feet,,,427398,439449.0,1.93,3.71,,False,,,7,2,1,5,0,0,False,151.36,0.1127,False,True,True,,central,False,True,,False,central,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.36000061035156,,475.86000061035156,relevant,472.86000061035156,480.86000061035156
2751211171,1982,123,1,1,12,5,cftj6g399tknheudaxsdpfdgb,547,165922,1,32.2,49.7,2024-11-24T13:14:36.488,2024-11-24T13:59:23,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1,18070,722.7999877929686,02ffc0ab-a99f-5d55-91b6-c7f079c77cdc,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,02ffc0ab-a99f-5d55-91b6-c7f079c77cdc,,,2442638,da7b14ea-aace-5c1a-8fa7-a2c0c826c7bf,547,401,,,,2.16,29.99,,,,,,,,,,,,,,,,,1,,,18124,74c17a5a-0c74-5b9c-9c55-3f47e4fb5d73,,square,,,,central,,wide_left,,pass,2751211171,1732454067040,165922,3b53be09-1617-5343-96f6-00e31228d1a5,b3fcfb98-0339-5cbc-ba09-5564c08126bd,7e315261-92ba-56f0-a456-964479f6331d,18070,247714,247714.0,,,,29.99,74.2,77.44,5-c,6,6,False,True,reception,3,2,1,feet,,,630534,,2.22,19.9,,False,,,8,8,7,5,5,5,False,722.8,0.9728,False,False,False,,central,False,True,,False,central,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.7999877929686,,1047.2999877929688,relevant,1044.2999877929688,1052.2999877929688
2751217717,798,224,1,1,20,26,cftj6g399tknheudaxsdpfdgb,547,165922,1,65.8,1.7,2024-11-24T13:22:57.428,2024-11-24T13:22:59,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1,30566,1222.6400146484375,6b055c0e-6637-50f2-92a6-8795082ba681,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,6b055c0e-6637-50f2-92a6-8795082ba681,,,2442638,2a27c4b5-1836-5259-88dc-f02d4e9c95a9,547,401,,,,4.08,20.67,,,,,,,,,,,,,,,,,1,,,30668,1ac40428-e7fc-5c62-9574-f6c7030cbcd4,,backward,,,,back_line,,in_front,,pass,2751217717,1732454566880,165922,232483ef-2f8b-584f-b070-66a3026d9391,3befdf92-fec8-5174-824f-4647738a1e98,b94849ad-635b-54dd-941a-a4d44b1fcb70,30566,227701,227701.0,,,,20.67,44.72,62.48,15,9,9,False,True,reception,0,0,2,feet,,,574190,429870.0,0.71,9.02,,False,,,9,11,11,5,9,8,False,1222.64,0.7469,False,False,False,,central,False,True,,False,central,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.6400146484375,,1547.1400146484375,relevant,1544.1400146484375,1552.1400146484375
2751222123,1036,286,1,1,27,9,cftj6g399tknheudaxsdpfdgb,547,165922,1,66.6,67.0,2024-11-24T13:29:39.921,2024-11-24T13:29:44,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1,40724,1628.9599609375,04956c60-016f-5fba-82b1-0d394f9aedf4,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,04956c60-016f-5fba-82b1-0d394f9aedf4,,,2442638,91337d19-0b49-5f28-9475-49e453241bce,547,401,,,,0.68,7.22,,,,,,,,,,,,,,,,,1,,,40741,4c89fece-655a-51cb-8eda-836655f8ebab,,backward,,,,central,,in_front,,pass,2751222123,1732454973200,165922,0302cce0-857e-55da-9d7b-79607dff838e,6d44916f-ab7f-509a-8d60-74f3647947f7,5ced2d4b-767d-5704-9568-6ffb12d68b47,40724,495068,495068.0,,,,7.22,40.7,47.55,11-l,11-l,11-l,False,True,reception,5,2,6,feet,,,447810,447810.0,4.85,3.32,,False,,,9,10,10,4,6,5,False,1628.96,0.8874,False,False,False,,central,False,True,,False,central,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628.9599609375,,1953.4599609375,relevant,1921.242181,1956.783706
